eng,twi,count,source_files
Chieftaincy,Ahenni,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Chieftaincy of stool-carriers,Nkonnuasoafo-hene,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Chimpanzee skins,kontromfi,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Chin,Abɔdweɛ,0,01_medical_glossary
China,China,0,12_hs_global_history_twi_parallel
Cholera,Ayamtuo brɛfoɔ,0,01_medical_glossary
Christiana,Kristoni,0,09_Twi-Dictionary_parallel
Christianity,Kristiansom,0,09_Twi-Dictionary_parallel
Christmas,Buronya,0,09_Twi-Dictionary_parallel
Christmas,bŭroṅyã or borowonyã,0,02_english-twi-dictionary
Christmas and New-year's-day,bŭró-ònyă,0,17_A Dictionary of the Asante and Fante Language_mono
Church,asɔre,0,14_Twi-Language-Guide_parallel
Civil Rights,Ɔman mu ahofadi,0,11_hs_us_history_twi_parallel
Civil War,Ɔmanko,0,11_hs_us_history_twi_parallel
Clan,Asona,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Clan mother,materfamilias,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Coffee,kɔfe,0,14_Twi-Language-Guide_parallel
Cold War,Amanyɔsɛm mu Ntawantawadi,0,12_hs_global_history_twi_parallel
Colombian,Colombiani,0,16_Twi-census-Glossary_parallel
Come back.,Brà àkyíré.,0,15_twi-sample_parallel
Come in.,Bra mu.,0,14_Twi-Language-Guide_parallel
Commander-In-Chief,Asraafoɔ hene,0,11_hs_us_history_twi_parallel
Committees of Correspondence,Nkitahodi Boayikuw,0,05_elementary_social_studies_twi
Common cold,Papuu,0,01_medical_glossary
Communist Party,Kɔmunisfo amanyɔkuw,0,11_hs_us_history_twi_parallel
Company captains,Asafoatsefo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Compression,Ademoa,0,03_science-glossary
Compton effect,Compton nsunsuansoɔ,0,08_hs_physics_twi_parallel
Computer,Komputa,0,03_science-glossary
Conclude,Wie,0,03_science-glossary
Conclusion,Awieɛ,0,03_science-glossary
Confession of Adultery,Wiakyere,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Confucianism,Confucius som,0,12_hs_global_history_twi_parallel
Congo red,Congo kɔkɔɔ,0,06_hs_chemistry_twi
Congratulations!,Mo!,0,14_Twi-Language-Guide_parallel
Congress,Abadwafoɔ,0,16_Twi-census-Glossary_parallel
Congress,Mmarahyɛ badwam,0,11_hs_us_history_twi_parallel
Congress of Vienna,Vienna Nhyiam,0,12_hs_global_history_twi_parallel
Consecrated leaf,somme,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Constipation,Ayamtim,0,01_medical_glossary
"Constitution, Akim Abuakwa",Akim Abuakwa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Continental Congress,Amanaman mmarahyɛ badwam,0,11_hs_us_history_twi_parallel
Continental Congress,Continental Congress kuw,0,05_elementary_social_studies_twi
Convulsion,Ɛsoro ka no,0,01_medical_glossary
Copper,kɔbere,0,08_hs_physics_twi_parallel
Cornerstone,tweatiboɔ,0,08_hs_physics_twi_parallel
Cough,Ɛwa,0,01_medical_glossary
Council,Ahenfo Nhyiamu,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Council members,Mpakanfo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Councillors,Atrafo Mpanyinfo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Counter Reformation,Atuatew Nsɔano,0,12_hs_global_history_twi_parallel
Court Crier,Esen,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Court Officer,Ahenkwa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Court crier,Esen,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Cousin,Onua,0,10_ashantiproverbst00rattuoft_parallel
Crack,pae/bɔ,0,08_hs_physics_twi_parallel
Craft,Adwinnie yɛ,0,08_hs_physics_twi_parallel
Creator,Odomankama,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Creator,Odomankoma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Creoles,Kasa afrafra,0,12_hs_global_history_twi_parallel
Criminal Case,Amanenya,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Cross,mmaka abere,0,09_Twi-Dictionary_parallel
Crusades,Ɔko ahorow,0,12_hs_global_history_twi_parallel
Cuban,Cubani,0,16_Twi-census-Glossary_parallel
Cube,adaka,0,08_hs_physics_twi_parallel
Cultural Revolution,Amammere Nsesae,0,12_hs_global_history_twi_parallel
Curious,mfeefeemu,0,08_hs_physics_twi_parallel
Curve,Koa yɛbea,0,08_hs_physics_twi_parallel
Czar,Czar,0,12_hs_global_history_twi_parallel
DNA,DNA,0,03_science-glossary
Dabble,dwira,0,02_english-twi-dictionary
Dabble,fọu,0,02_english-twi-dictionary
Dabble,kekã,0,02_english-twi-dictionary
Dabehene,Dabehene,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Damage,sɛe,0,08_hs_physics_twi_parallel
"Dance, adowa",adowa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, ahima",ahima,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, ankedam",ankedam,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, asiko",asiko,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, densem",densem,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, fernapo Fernandopo",fernapo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Dance, siti",siti,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dandruff,Ɛhoa,0,01_medical_glossary
Daniel,ɔtemuafoɔ,0,09_Twi-Dictionary_parallel
Dapada,Dapada,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dark Ages,Sum Mmere,0,12_hs_global_history_twi_parallel
Dart,bɔtwi bɛmma ketewa,0,08_hs_physics_twi_parallel
Dash,tõ,0,02_english-twi-dictionary
Data,nsɛm,0,08_hs_physics_twi_parallel
Date,Date,0,02_english-twi-dictionary
Daughter,ɔba baa,0,14_Twi-Language-Guide_parallel
David,ɔdɔfo-pa,0,09_Twi-Dictionary_parallel
Dawes Act,Dawes Mmara,0,11_hs_us_history_twi_parallel
De Witt Clinton,De Witt Clinton,0,05_elementary_social_studies_twi
Deafness,Asosie/Asosiyɛ,0,01_medical_glossary
Deafness,Asosiyɛ,0,01_medical_glossary
Decameter,mita du,0,08_hs_physics_twi_parallel
Decay,prɔe/ade reporɔw,0,08_hs_physics_twi_parallel
December,Obubuo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
December,Opeɛnima,0,09_Twi-Dictionary_parallel
Decibel,nnyegyeeɛ anoden susudua,0,08_hs_physics_twi_parallel
Deck,suhyɛn mu,0,08_hs_physics_twi_parallel
Declaration of Independence,Fahodi ho Mpaemuka,0,05_elementary_social_studies_twi
Declaration of Independence,ahofadi ho mpaemuka,0,11_hs_us_history_twi_parallel
Decrease,te so/hwane so,0,08_hs_physics_twi_parallel
Define,kyerɛ mu,0,08_hs_physics_twi_parallel
Definite,pɔtee,0,08_hs_physics_twi_parallel
Definite,pɛpɛɛpɛ,0,08_hs_physics_twi_parallel
Degree,mpɔmpɔnsɔ,0,08_hs_physics_twi_parallel
Delicious,dɛdɛɛdɛ,0,14_Twi-Language-Guide_parallel
Deliver,de kɔma,0,08_hs_physics_twi_parallel
Demonstration,ɔyɛkyerɛ,0,08_hs_physics_twi_parallel
Denkera,Denkera,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Denkyira,Dánkyira,0,02_english-twi-dictionary
Density,ɛmu duro,0,08_hs_physics_twi_parallel
Densu river,Densu,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Derive,Nya firi,0,08_hs_physics_twi_parallel
Descend,Siane,0,08_hs_physics_twi_parallel
Descent,Famkɔ,0,08_hs_physics_twi_parallel
Design,hyehye,0,08_hs_physics_twi_parallel
Despise nobody,Susubribi,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destooled,Ahennwa so,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destoolment,Ahennwa-gyae,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destoolment,Ahennwa-twa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destoolment,Akonnwa-gyae,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destoolment,dwa-twa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Destructive,deɛ ɛsɛe ade,0,08_hs_physics_twi_parallel
Detection,Biribi hu,0,08_hs_physics_twi_parallel
Detection,Nhunumu,0,08_hs_physics_twi_parallel
Determine,biribi Hu,0,08_hs_physics_twi_parallel
Deviate,Kyea,0,08_hs_physics_twi_parallel
Device,Adeyɔdeɛ,0,08_hs_physics_twi_parallel
Device,Adwinnade,0,08_hs_physics_twi_parallel
Device,Afiri,0,08_hs_physics_twi_parallel
Dewdrop,bɔsuo,0,08_hs_physics_twi_parallel
Diabetes,Asikyireyadeɛ,0,01_medical_glossary
Diabetes,Asikyireyarɛ,0,01_medical_glossary
Diamond,Dɛnkyɛmmoɔ,0,08_hs_physics_twi_parallel
Diarrhoea,Yamtuo,0,01_medical_glossary
Diarrhoea/ Running Stomach,Ayamtuo,0,01_medical_glossary
Diarrhoea/ Running stomach,Ayamtuo,0,01_medical_glossary
Digit,Nɔma,0,08_hs_physics_twi_parallel
Dimension,Tentenye,0,08_hs_physics_twi_parallel
Dip,De hyɛ mu,0,08_hs_physics_twi_parallel
Diphtheria,Ahrawa mu yareɛ,0,01_medical_glossary
Direction,Kwan,0,08_hs_physics_twi_parallel
Directions,Àkwànkyèrɛ́,0,15_twi-sample_parallel
Directly,Tee,0,08_hs_physics_twi_parallel
Discover,Hunu,0,08_hs_physics_twi_parallel
Disinherison,Kahire Ekal,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Disintegrate,Tete mu,0,08_hs_physics_twi_parallel
Disorder,basabasayɛ,0,08_hs_physics_twi_parallel
Disorder,kyema,0,08_hs_physics_twi_parallel
Disorder,sakasaka,0,08_hs_physics_twi_parallel
Disperse,paapae mu,0,08_hs_physics_twi_parallel
Dispersion,mpaapaemu,0,08_hs_physics_twi_parallel
Dissimulating,brabrafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dissipate,Ma ntetewmu mmra,0,08_hs_physics_twi_parallel
Distant,emu twe,0,08_hs_physics_twi_parallel
Distortion,Yɛbea/Su nsesaeɛ,0,08_hs_physics_twi_parallel
Distribute,kyekyɛ,0,08_hs_physics_twi_parallel
District,Oman,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Disturb,Teetee/haw adwene,0,08_hs_physics_twi_parallel
Disturbance,Ateetee,0,08_hs_physics_twi_parallel
Dive,Dɔ asukɔ,0,08_hs_physics_twi_parallel
Divide,Kyɛ mu,0,08_hs_physics_twi_parallel
Division,Nkyekyɛmu,0,08_hs_physics_twi_parallel
Dizziness/ Vertigo,Anisobirie,0,01_medical_glossary
Doa fibre,doa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Doctor,yaresafoɔ,0,14_Twi-Language-Guide_parallel
"Documents, stool",akonnwa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Does he/she foam?,N'ano pu/twa ahuro,0,01_medical_glossary
Does he/she foam?,N’ano pu/twa ahuro?,0,01_medical_glossary
Dog,Ɔkraman,0,08_hs_physics_twi_parallel
Doma,Doma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Doma,doma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dominican,Dominicani,0,16_Twi-census-Glossary_parallel
Dora,asɛmkeka,0,09_Twi-Dictionary_parallel
Dorcas,owansan,0,09_Twi-Dictionary_parallel
Doris,okyɛngyefoo,0,09_Twi-Dictionary_parallel
Dorothy,Onyankopɔn ahyehyɛ,0,09_Twi-Dictionary_parallel
Double,Mmienu Mmɔho abien,0,08_hs_physics_twi_parallel
Drag,tase we,0,08_hs_physics_twi_parallel
Draw,Yɛ mfonin,0,08_hs_physics_twi_parallel
Drink Durbar,Sa-gua,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drop,Asusue Nsosɔe,0,08_hs_physics_twi_parallel
Droplet,asusue kumaa nsosɔe,0,08_hs_physics_twi_parallel
Drum,Asafo Pranpran,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drum,Twene,0,08_hs_physics_twi_parallel
Drum,Twenesin,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drum set,fontomfrom,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drummer,Kyerɛma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drummer,Okyerɛma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drummers and Horners,Akyeremadefo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drummers and Horners,Asokwafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drummers and Horners,Mpintinkafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Drumming and Dancing,Twènèbó né Àsá,0,15_twi-sample_parallel
Drums,Boma,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
"Drums, the fontomfrom",fontomfrom,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dumbness,Mum,0,01_medical_glossary
Dust,Mfuturo,0,08_hs_physics_twi_parallel
Dwemtade hearing fee,dwemtade,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Dwoada Fodjuor,Dwoada Fodjuor,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
ENGLISH,ENGIRESI,0,12_hs_global_history_twi_parallel
Each,emu biara,0,02_english-twi-dictionary
Each,mmiakõ-mmiakõ,0,02_english-twi-dictionary
Each,§ 77,0,02_english-twi-dictionary
Each,ńhĩnã,0,02_english-twi-dictionary
Ear discharge,Asofitie,0,01_medical_glossary
Earnest-money,Trama,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Earth's surface,Asase ani,0,05_elementary_social_studies_twi
Easter,Yesu amanehunu da,0,09_Twi-Dictionary_parallel
Eastern Hemisphere,Asase no Apuei,0,12_hs_global_history_twi_parallel
Ebenezer,Adom ara kwa,0,09_Twi-Dictionary_parallel
Ecuadorian,Ecuadorni,0,16_Twi-census-Glossary_parallel
Edward,ɔwemfoɔ - pa,0,09_Twi-Dictionary_parallel
Effect,Nsunsuansoɔ,0,08_hs_physics_twi_parallel
Effort,Anammɔntuo,0,08_hs_physics_twi_parallel
Eggs,nkosua,0,14_Twi-Language-Guide_parallel
Egua,agua,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Egua Stool,egua,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Egypt,Egypt,0,12_hs_global_history_twi_parallel
Egyptian,Egyptni,0,16_Twi-census-Glossary_parallel
Einstein,Einstein,0,08_hs_physics_twi_parallel
Ekoana,Ekoana,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Ekoana Buffalo,Ekoɔna,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Ekoana clan,Ekoana,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Ekyere performances,Ekyere,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Elasticity,Twannyɛ,0,08_hs_physics_twi_parallel
Elbow,Batwɛ,0,01_medical_glossary
Elderly stool heir,Bafuor,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Elderly stool heir,Barima,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Elders,Mpaninfo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Elders,Mpanyimfoɔ,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Eleanor,Kanea,0,09_Twi-Dictionary_parallel
Electric,Anyinam ahoɔden,0,08_hs_physics_twi_parallel
Electron,Elektrɔn,0,08_hs_physics_twi_parallel
Elephantiasis,Gyepim,0,01_medical_glossary
Elisha,nkwagyeɛ,0,09_Twi-Dictionary_parallel
Elizabeth,Onyankopɔn bɔhyɛ,0,09_Twi-Dictionary_parallel
Ellen,kanea,0,09_Twi-Dictionary_parallel
Ellis Island,Ellis supɔw,0,05_elementary_social_studies_twi
Elmina,Dĕnă,0,02_english-twi-dictionary
Elmina,Edĕnă,0,02_english-twi-dictionary
Emancipation Proclamation,Faahodie ho mpaemuka,0,11_hs_us_history_twi_parallel
Embargo Acts,Anohyeto ho Mmara,0,11_hs_us_history_twi_parallel
Embed,Sie/Fa hyɛ,0,08_hs_physics_twi_parallel
Emerge,Pue fi,0,08_hs_physics_twi_parallel
Emit,Firi/yi adi,0,08_hs_physics_twi_parallel
Encounter,Hyia,0,08_hs_physics_twi_parallel
Energetic,Ahoɔdenne,0,08_hs_physics_twi_parallel
Energetic,Keka ne ho,0,08_hs_physics_twi_parallel
Energy,Ahoɔden,0,08_hs_physics_twi_parallel
Energy,Anyinam,0,08_hs_physics_twi_parallel
Engineer,Afiri hyehyeɛfo,0,08_hs_physics_twi_parallel
Engineer,Hyehye biribi,0,08_hs_physics_twi_parallel
English,Englandni,0,16_Twi-census-Glossary_parallel
Enormous,Deɛ ɛso,0,08_hs_physics_twi_parallel
Enough,sõ,0,14_Twi-Language-Guide_parallel
Enstoolment,Ahennwa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Enstoolment,nkorɔn,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Enter,Wuram,0,08_hs_physics_twi_parallel
Entropy,ɛntropi,0,08_hs_physics_twi_parallel
Epilepsy/ Fits,Etwerɛ,0,01_medical_glossary
Equipment,Mfidie,0,08_hs_physics_twi_parallel
Equipment,adwinnade,0,08_hs_physics_twi_parallel
Equipment,nnwinnade,0,08_hs_physics_twi_parallel
Equivalent,Yɛ pɛ,0,08_hs_physics_twi_parallel
Erect,Birim/egyina hɔ pintinn,0,08_hs_physics_twi_parallel
Erlenmeyer Flask,Erlenmeyer Toa,0,06_hs_chemistry_twi
Esen,Esen,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Essau,Anwinwii,0,09_Twi-Dictionary_parallel
Essence,ɛso mfasoɔ,0,08_hs_physics_twi_parallel
Estates-General,Franse Boayikuw,0,12_hs_global_history_twi_parallel
Ester,ɛsta,0,06_hs_chemistry_twi
Esther,soromma,0,09_Twi-Dictionary_parallel
Ether,Ether,0,08_hs_physics_twi_parallel
Ether,ita mframa,0,06_hs_chemistry_twi
Ethiopian,Ethiopiani,0,16_Twi-census-Glossary_parallel
Ethyl,itili adewa,0,06_hs_chemistry_twi
Etoo,Etoo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Eugenia,ofri adeɛ,0,09_Twi-Dictionary_parallel
Eunice,nkunimdie,0,09_Twi-Dictionary_parallel
Eurasia,Eurasia,0,12_hs_global_history_twi_parallel
Eurodollar,Eurodɔla,0,12_hs_global_history_twi_parallel
Europe,Aburokyire,0,09_Twi-Dictionary_parallel
Europe,Aburokyiri,0,09_Twi-Dictionary_parallel
Europe,Abŭrokyiri,0,02_english-twi-dictionary
Europe,Eburokyir,0,09_Twi-Dictionary_parallel
Europe,Europeman,0,11_hs_us_history_twi_parallel
European,Obŭroni,0,02_english-twi-dictionary
European Union,Europa Aman Nkabomkuw,0,12_hs_global_history_twi_parallel
"European, white man",o-bŭróní,0,17_A Dictionary of the Asante and Fante Language_mono
Eva,oma nkwa,0,09_Twi-Dictionary_parallel
Evans,Osinaba,0,09_Twi-Dictionary_parallel
Evaporate,Tu Dan suwusiw,0,08_hs_physics_twi_parallel
Evaporation,Ntuiɛ Suwusiw dan,0,08_hs_physics_twi_parallel
Evelyn,ahoto,0,09_Twi-Dictionary_parallel
Evening,anwumerɛ,0,14_Twi-Language-Guide_parallel
Evenly,Pɛyɛpɛ/Pɛrɛɛpɛ,0,08_hs_physics_twi_parallel
Eventually,ɛno akyi,0,08_hs_physics_twi_parallel
Evidence,Adanseɛ,0,08_hs_physics_twi_parallel
Except,Gye sɛ,0,08_hs_physics_twi_parallel
Executioner,Kwabrafoɔ,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Executioner,Kwawu Kwabrafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Executioner,Obrafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Executioners,Abrafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Exhaust,Sa/ma biribi sa,0,08_hs_physics_twi_parallel
Exist,Wɔ hɔ/ pue,0,08_hs_physics_twi_parallel
Expand,Trɛw mu,0,08_hs_physics_twi_parallel
Expansion,Ntrɛwmu,0,08_hs_physics_twi_parallel
Expect,Hwɛ kwan,0,08_hs_physics_twi_parallel
Experiment,Nhwɛsoɔ,0,08_hs_physics_twi_parallel
Experiment,Sohwɛ,0,08_hs_physics_twi_parallel
Explore,Hwehwɛ,0,08_hs_physics_twi_parallel
Exponent,mmɔho ahyɛnsode,0,08_hs_physics_twi_parallel
Express,Da adi,0,08_hs_physics_twi_parallel
Extend,Trɛw,0,08_hs_physics_twi_parallel
Extreme,Mmorosoɔ,0,08_hs_physics_twi_parallel
Extreme,Ɛboro so,0,08_hs_physics_twi_parallel
Eye,Ani,0,01_medical_glossary
Eye lid,Anintɔn nwi,0,01_medical_glossary
Eyebrow,Ani akyi nwi,0,01_medical_glossary
Eyebrow,Aniakyi nwi,0,01_medical_glossary
Eyes,Ani,0,01_medical_glossary
Ezekiel,Onyankopon Ahooden,0,09_Twi-Dictionary_parallel
F.=obābasía,o-basía,0,17_A Dictionary of the Asante and Fante Language_mono
Fable,anansesẹm,0,02_english-twi-dictionary
Fable,ayesẹm,0,02_english-twi-dictionary
Fable,boa etc.,0,02_english-twi-dictionary
Fable,to anansesem,0,02_english-twi-dictionary
Fahrenheit,fahrenheit,0,04_mathematics-glossary
Fahrenheit scale,Fahrenheit susudua,0,07_hs_living_environment_twi_parallel
Fahrenheit °F,Fahrenheit °F,0,03_science-glossary
Faint,Twa hwe,0,08_hs_physics_twi_parallel
Family,abusũã,0,14_Twi-Language-Guide_parallel
Family,æbuswĩã,0,14_Twi-Language-Guide_parallel
Family Relations,Àbùsùàbó,0,15_twi-sample_parallel
Family Tie,Ekal,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Family Tie,Kahire,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Family Tie,Kahire or Ekal,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Family cup,Abusua kuruwa,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Famous or illustrious,Ode-hye,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fante,Fànté,0,02_english-twi-dictionary
Fanteakwahene of Begoro,Fanteakwahene,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fanti,Fante,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fanti Customary Laws,Fante,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fanti company system,Fante,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Farad,Farad,0,08_hs_physics_twi_parallel
Fascism,Kankabi aban nhyehyɛe,0,12_hs_global_history_twi_parallel
Fascist Party,Kankabi Amanyɔkuw,0,12_hs_global_history_twi_parallel
Fat,Srade,0,06_hs_chemistry_twi
Fate's decree,Nkrawiri,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Father,papa,0,14_Twi-Language-Guide_parallel
Father-in-law,Ase,0,10_ashantiproverbst00rattuoft_parallel
Faustina,nea neti yɛ,0,09_Twi-Dictionary_parallel
February,Kwakawr,0,09_Twi-Dictionary_parallel
February,Ogyefuo,0,09_Twi-Dictionary_parallel
February,Opepon,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Federal Reserve System,ɔman sikakora nhyehyɛe,0,11_hs_us_history_twi_parallel
Felicity,anigyeɛ,0,09_Twi-Dictionary_parallel
Felix,Anigyeɛ,0,09_Twi-Dictionary_parallel
Fenasoafo,Fenasoafo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Ferric,nea iron wom,0,06_hs_chemistry_twi
Fertile Crescent,Kɔntɔnkrɔn Fa Asasepa,0,12_hs_global_history_twi_parallel
Festival,Banmu,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Festival,Odwira,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Festival,Ohum-Kyire,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Festival,Ohumkan,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Festivals,Afahye,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Festus,Anigyeɛ,0,09_Twi-Dictionary_parallel
Fetefre tree,Fetefre,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fetish,suman,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fetish Oath,Duabo,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fever,Yarefufuo,0,01_medical_glossary
Fever/ High Temperature,Ahoɔhyeɛ,0,01_medical_glossary
Feverishness,Afeɛfeɛ,0,01_medical_glossary
Fiber,hama teaa,0,08_hs_physics_twi_parallel
Fiction,Bɔserɛmuka,0,08_hs_physics_twi_parallel
Field,Beaeɛ,0,08_hs_physics_twi_parallel
Fijian,Fijini,0,16_Twi-census-Glossary_parallel
Filament,Filamɛnte,0,08_hs_physics_twi_parallel
Filipino,Filipini,0,16_Twi-census-Glossary_parallel
Finger,Nsatea,0,08_hs_physics_twi_parallel
Fingers,Nsatea,0,01_medical_glossary
Fingers,Nsateaa,0,01_medical_glossary
First Councillor,Abontendomhene,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
First Ohum,Ohum-Kan,0,19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Fish,nsuomnam,0,14_Twi-Language-Guide_parallel
Fit/ Epilepsy,Etwerɛ,0,01_medical_glossary
Fits/ Epilepsy,Etwerɛ,0,01_medical_glossary
